Blog	getting	real	youtube	our	years	people	us	do	design	things	why	way	think	writing	makes	into	product	does	which	features	build	everything	going	business	ve	written	these	ll	keep	them	want	show	tell	started	called	start	day	work	down	other	may	far	coming	check	ready	watch	hope	any	ideas	future	please	post	where	story	well	know	self	might	most	few	months	ago	asked	he	d	earlier	no	didn	learning	did	talk	rather	his	really	after	myself	answer	head	someone	yet	had	idea	against	because	own	list	goes	each	shot	thought	here	state	bad	without	make	don	re	model	view	also	means	him	remember	point	trying	between	two	else	last	thing	need	get	done	then	go	see	family	important	better	being	ways	actually	good	feel	stop	person	something	take	write	later	results	version	process	create	working	isn	home	her	different	wants	everyone	must	others	team	questions	become	than	even	try	said	light	only	give	sure	find	created	put	wanted	every	week	set	would	made	same	now	m	could	friend	anyone	company	simply	help	comes	needed	found	say	always	love	too	once	problem	social	media	public	seems	play	ever	hard	were	co	tech	companies	com	c	b	thanks	hands	service	support	five	whether	wrote	its	hand	experience	users	together	got	those	turn	email	hours	page	very	wrong	much	less	best	part	month	kind	seen	before	many	off	while	took	right	name	original	paper	over	interesting	fun	life	x	number	level	look	feature	me	great	including	question	lot	doing	decided	using	around	past	turned	job	building	looking	back	again	instead	end	went	come	full	along	data	built	pick	case	single	use	thinking	let	making	web	long	year	easy	search	bit	finally	small	though	early	hit	learn	project	enough	recently	available	book	she	digital	talking	through	world	black	doesn	until	used	often	since	during	apple	simple	content	should	order	never	several	both	short	place	another	share	still	possible	happy	reading	taking	next	change	nothing	forward	read	notes	least	group	based	four	example	favorite	stuff	course	free	shows	am	big	pay	close	attention	days	former	won	tips	online	community	readers	side	today	mean	amazon	links	local	power	second	buy	link	behind	john	seven	amazing	live	google	came	art	blog	times	already	having	away	call	open	facebook	ad	half	america	under	music	latest	twitter	president	face	little	night	school	lives	follow	million	left	friends	probably	u	guy	man	almost	police	tv	friday	among	driving	says	morning	hour	old	money	pretty	takes	trump	top	told	news	woman	according	camera	appeared	posted	site	game	three	photos	san	students	nbsp	soon	sound	machine	app	phone	website	store	maybe	photo	tools	recent	march	city	continue	internet	york	easter	april	government	women	house	special	report	system	update	high	country	series	stories	science	american	video	security	k	movie	sale	network	paul	shooting	white	line	th	fake	lead
The Official Google Blog	3	9	1	53	6	22	9	9	7	3	5	9	3	4	5	14	1	0	8	5	3	4	2	5	14	0	13	24	4	18	7	9	4	4	0	5	14	8	9	10	4	0	2	5	2	10	3	7	2	3	2	3	13	1	7	6	0	5	11	6	2	4	1	1	3	1	4	1	8	1	5	0	3	2	5	0	0	2	0	1	4	2	6	6	10	3	0	3	3	1	11	2	0	3	9	8	35	0	3	14	2	1	1	2	1	1	5	0	8	0	6	20	2	6	7	14	6	3	2	0	6	0	2	0	2	1	3	6	1	1	2	0	4	9	3	2	16	6	5	1	2	0	2	14	2	0	14	15	2	3	9	9	4	1	20	4	1	2	8	15	2	3	5	2	22	4	5	0	0	3	2	21	6	2	4	3	3	5	5	4	0	0	0	0	1	24	2	0	9	2	3	3	3	0	0	1	4	8	8	6	10	2	3	4	3	3	9	1	5	8	3	0	2	0	0	7	0	9	3	5	0	2	6	9	6	13	0	9	3	0	2	14	3	3	5	2	2	2	4	4	10	11	10	4	2	1	0	10	8	7	0	6	0	4	6	2	3	1	2	7	2	1	37	6	1	4	5	20	3	6	4	4	3	4	9	25	6	1	1	1	1	3	10	1	0	2	8	9	2	3	1	8	8	0	3	0	1	3	2	7	0	1	5	1	1	3	4	5	1	3	1	12	2	2	1	1	4	9	4	1	4	7	2	0	1	8	7	2	11	1	0	5	4	2	4	0	2	2	5	2	1	3	4	2	0	1	16	0	1	2	6	0	3	2	0	1	1	0	2	2	105	1	1	2	1	3	1	0	2	7	0	2	5	0	1	3	4	1	2	1	4	1	3	1	3	5	1	5	0	8	0	1	1	0	11	1	6	1	1	3	0	2	0	0	3	0	20	0	3	1	0	4	0	2	4	15	3	10	7	19	0	1	4	4	12	3	2	2	0	5	3	0	6	3	5	1	6	7	8	4	15	1	1	1	4	2	3	2	5	5	3	1	2	54	2	5	2	2	2	2	1	1	0	0	0
Google Operating System	0	1	13	2	0	2	0	1	1	1	1	1	0	0	2	3	2	0	12	4	0	0	1	0	5	0	3	7	1	3	3	2	0	2	4	1	3	0	5	9	1	0	0	1	0	0	1	3	0	0	0	1	1	0	2	4	0	0	3	1	0	0	0	0	1	0	6	0	2	3	0	0	0	1	2	0	1	1	0	0	2	0	1	2	2	7	0	4	0	0	7	0	0	0	2	3	3	0	1	9	1	0	0	3	0	4	0	0	1	0	2	15	0	3	7	4	0	2	1	0	1	1	0	1	1	0	2	1	0	1	9	3	0	0	0	0	6	0	9	0	2	1	1	1	1	2	5	4	3	0	2	10	0	1	1	0	0	0	1	0	1	0	0	3	16	3	0	0	0	0	1	1	1	0	4	0	1	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	2	1	4	0	1	0	2	0	2	0	3	0	0	3	0	0	3	5	1	0	10	2	0	2	0	1	0	1	0	0	0	4	2	5	0	1	2	1	0	1	3	0	2	1	0	1	3	11	1	1	4	3	1	0	1	5	2	0	0	0	0	0	4	2	0	1	0	0	2	0	1	0	6	0	0	7	0	1	0	3	5	2	1	53	0	0	0	1	1	0	0	0	0	2	3	0	0	1	0	0	2	0	2	0	0	1	2	0	0	0	2	1	0	2	0	2	0	3	4	3	5	0	0	0	1	5	3	0	1	1	0	0	0	1	0	7	2	0	0	1	18	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	2	1	0	0	2	0	0	1	0	2	108	1	0	2	0	1	0	0	0	4	0	2	0	0	0	0	2	0	0	0	1	2	1	0	0	0	2	0	1	0	0	2	0	2	2	0	0	1	0	0	0	4	0	2	0	0	1	0	1	1	2	2	0	0	4	2	0	6	0	0	11	1	2	3	9	0	0	3	0	2	5	1	0	0	0	1	0	0	2	0	1	0	3	0	5	0	4	0	0	0	0	0	3	2	0	2	0	3	0	0	0	1	1	0	0
Creating Passionate Users	0	0	0	1	0	1	0	2	2	1	1	0	0	0	0	0	4	2	1	0	0	0	2	0	3	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Instapundit	0	4	0	2	4	4	2	5	0	2	1	2	0	0	0	3	0	0	2	2	0	2	1	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	2	2	1	0	2	6	1	1	0	3	4	3	0	1	0	0	0	0	5	2	1	0	2	0	1	2	0	2	4	2	0	0	0	0	0	2	0	2	2	1	0	1	0	0	1	0	7	0	0	0	3	0	0	0	3	0	2	0	0	0	0	1	0	0	1	0	2	2	1	2	0	0	2	0	1	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	2	1	4	3	0	0	0	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	3	4	7	0	0	0	2	3	2	0	0	1	0	3	3	0	0	6	6	0	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	1	1	0	0	0	0	1	2	1	1	0	2	2	0	0	2	1	0	0	0	0	0	0	2	3	0	0	2	0	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	3	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	2	0	0	1	2	0	0	1	0	1	0	0	2	1	0	0	0	0	0	1	0	1	2	1	0	2	0	2	2	0	0	0	1	0	21	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	4	2	0	0	3	0	0	0	0	5	0	1	0	0	2	0	1	6	0	0	0	0	2	2	2	1	0	0	0	1	0	4	0	0	0	0	5	0	0	0	3	0	0	0	0	0	2	1	0	0	3	0	2	0	2	2	0	0	0	2	0	2	0	6	2	0	0	2	0	0	0	1	0	0	5	1	4	0	2	0	0	0	2	2	2	0	0	0	1	2	3	1	0	0	0	0
Jeremy Zawodny's blog	1	0	0	2	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	1	1	2	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Joi Ito's Web	0	1	0	3	3	2	2	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	1	1	0	3	1	0	0	1	0	3	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	2	3	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	3	1	0	0	0	1	0	0	0	3	2	0	3	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	3	0	0	0	1	0	0	0	0	2	0	8	4	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mashable	4	2	0	3	3	8	5	5	1	8	3	3	1	0	1	6	0	2	14	3	1	6	0	0	7	0	11	6	2	1	4	7	1	1	3	1	10	5	3	7	5	1	0	2	0	2	2	5	0	1	1	2	8	3	6	5	0	6	13	4	0	0	3	6	3	1	7	2	1	1	1	2	9	1	7	0	0	1	3	0	8	0	0	3	6	1	1	2	1	1	2	1	5	4	6	3	7	4	0	31	1	0	2	2	1	0	6	1	5	1	4	5	1	4	7	28	1	1	10	7	2	4	8	5	2	1	3	5	0	0	0	3	0	0	0	5	1	6	1	1	1	2	2	1	0	5	13	7	0	2	0	5	2	3	3	2	1	0	6	3	1	10	0	1	6	2	2	3	3	4	2	3	2	0	0	2	1	6	1	4	1	2	1	0	1	2	7	3	4	1	15	1	1	0	0	0	2	3	0	0	0	2	8	1	2	5	2	3	3	2	6	2	0	2	1	5	1	5	3	3	0	3	4	3	4	6	2	5	1	2	0	6	0	1	3	8	2	3	3	7	5	2	2	0	1	1	1	2	3	0	1	0	1	1	8	2	0	0	2	2	1	2	1	1	2	0	0	5	0	2	1	6	5	6	2	0	2	4	0	4	2	3	1	0	1	0	0	3	6	0	1	1	12	0	2	4	3	0	4	4	8	0	1	1	0	2	0	0	0	1	4	0	1	0	1	2	1	2	1	2	0	35	0	2	0	0	0	0	0	2	2	1	3	0	2	0	2	0	2	0	0	2	1	0	0	2	1	2	0	0	0	0	5	1	0	3	0	0	0	2	16	1	1	2	1	2	2	1	1	1	3	0	1	0	1	2	1	7	2	1	1	3	1	1	1	5	1	2	4	1	0	1	0	0	2	5	0	0	3	0	0	3	0	2	1	10	2	0	4	3	3	1	0	0	0	7	0	1	0	1	0	1	0	1	6	5	1	0	2	2	0	3	10	2	0	5	0	3	7	0	1	1	1	0	1	0	1	0	0	5	3	1	1	0	3	2	1	0	0	0	0	2	1	4	0
MichelleMalkin.com	0	0	0	1	4	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	6	0	0	0	0	3	3	0	1	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	5	1	0	0	0	2	0	0	2	0	0	1	2	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	2	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	1	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	9	2	0	0	1	0	0	1	1	0	0	3	0	0	0	0	1	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	3	0	2	2	2	0	0	3	0	3	0	1	0	0	0	0	4	0	0	0	0	2
The Viral Garden	6	3	0	7	6	68	16	40	0	6	21	27	32	5	4	9	2	5	19	0	5	0	10	12	20	5	25	17	3	50	34	5	11	14	5	4	17	17	2	19	12	1	11	7	1	0	2	8	6	1	3	43	18	2	12	22	4	5	23	26	7	5	1	17	5	1	19	14	2	13	1	1	8	10	8	5	3	1	14	1	40	18	0	38	24	12	2	5	0	11	25	1	3	2	20	15	4	0	5	10	5	3	3	6	7	2	8	8	12	17	8	21	3	23	14	22	0	4	10	21	6	11	17	2	2	6	9	7	9	5	5	1	1	10	1	6	0	5	3	3	10	3	9	5	5	10	10	19	4	13	0	16	6	11	9	7	4	12	10	5	0	31	8	16	19	18	8	4	3	13	5	10	2	2	10	6	6	2	6	3	6	135	123	0	3	2	3	0	36	0	0	30	22	0	2	2	0	5	2	0	1	7	11	1	1	10	5	10	12	2	3	4	7	23	4	6	5	7	7	1	0	3	11	25	5	8	10	7	10	1	0	15	5	2	2	0	5	4	2	0	57	13	1	0	14	13	6	30	7	2	2	1	4	10	20	3	5	5	7	8	3	4	0	0	1	8	1	20	4	8	4	1	8	19	2	3	8	2	5	5	3	2	8	4	5	6	0	0	2	1	4	4	4	1	2	0	1	9	3	5	1	2	15	16	1	10	9	6	1	3	9	8	14	1	1	8	4	9	3	2	2	10	0	5	4	0	5	4	2	3	3	6	2	25	12	3	6	7	10	0	11	2	8	11	10	1	4	8	0	9	0	5	3	2	20	1	1	4	6	3	0	1	0	48	1	2	2	3	1	2	14	11	3	2	1	6	2	61	0	0	3	3	1	0	16	0	10	12	12	0	0	1	2	0	1	0	3	3	0	0	4	2	3	3	1	0	4	3	1	0	2	0	0	0	12	1	3	0	3	0	14	3	1	0	0	0	3	1	4	0	7	4	3	0	1	0	2	0	12	0	0	0	1	0	0	2	1	0	9	3	1	0	0	0	1	0	0	4	2	0	0	3	9	0	2
NewsBusters	0	0	0	2	3	7	2	2	0	0	1	1	2	0	1	4	0	2	5	0	0	0	2	0	1	3	2	0	0	6	2	11	2	0	1	0	6	0	2	3	0	6	0	2	0	1	0	3	0	0	0	0	1	1	2	3	0	4	4	0	0	0	0	17	1	0	2	3	0	2	2	3	12	3	9	0	0	2	0	3	5	1	8	4	2	1	0	1	0	0	1	4	0	1	1	4	2	0	5	4	0	5	0	1	1	0	1	1	4	0	3	1	0	2	0	1	1	0	2	6	0	3	1	1	3	0	0	1	0	0	1	0	0	0	0	3	0	9	0	0	0	1	0	1	0	1	5	7	1	2	1	1	2	0	0	0	2	1	0	6	2	6	2	3	5	4	1	0	2	0	1	0	2	0	0	0	2	0	3	2	0	1	12	1	1	0	1	0	3	4	0	1	0	1	0	1	0	0	0	0	1	1	3	1	0	0	0	1	0	2	0	1	0	4	1	2	2	0	0	5	0	0	6	8	2	2	2	0	0	0	0	5	2	0	0	0	0	0	1	0	3	0	0	2	1	0	0	0	1	2	0	2	0	0	1	1	1	1	3	0	0	1	0	0	2	3	0	4	0	1	2	0	2	2	0	0	2	0	0	2	1	0	0	1	1	0	0	0	12	0	2	0	1	1	0	0	3	1	1	2	0	0	0	3	0	1	3	4	0	0	2	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	2	0	0	1	2	4	0	1	0	0	2	0	6	1	0	0	0	0	0	3	0	0	0	0	0	6	0	0	1	2	0	0	2	0	0	0	0	6	1	2	1	0	0	0	0	0	1	1	0	4	2	23	1	1	2	5	3	0	1	7	0	1	2	0	1	4	11	0	5	0	0	1	5	1	0	2	0	0	43	2	0	10	2	2	0	0	0	0	0	3	0	0	2	30	1	0	0	0	0	0	0	0	4	0	2	6	0	1	0	5	1	0	0	3	5	2	0	2	1	2	1	0	1	0	3	0	0	0	2	0	4	1	3	5	0	1	1	3
PaulStamatiou.com - Technology, Design and Photography	4	0	0	0	2	0	0	3	5	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	7	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	16	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
Power LinePower Line	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0
O'Reilly Radar	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	0	0	1	2	0	0	0	2	0	2	0	0	0	0	1	10	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
